filename,alignment_length,max_zeroes,mean_zeroes,variance_zeroes,count_76_zero_blocks,num_perfect_matches,max_dist_between_matches,normalized_perfect_match_rate,min_percent_identity,max_percent_identity,avg_percent_identity,num_variable_regions,max_variable_region_length,mean_variable_region_length
GC_00000990_aligned.fasta,570,80,78.67695099818512,1.9246774549490946,20,189,111,0.343,95.09,100.0,98.9,9,91,23.333333333333332
GC_00002092_aligned.fasta,612,80,75.19730185497471,5.08586118544344,106,15,351,0.0253,82.43,100.0,95.38,3,331,180.0
GC_00002706_aligned.fasta,597,79,73.0242214532872,9.193184947498235,38,0,0,0.0,74.83,100.0,94.86,1,597,597.0
GC_00000542_aligned.fasta,864,80,78.26627218934911,3.7385665768005314,48,278,183,0.329,92.94,100.0,98.63,13,163,26.076923076923077
GC_00002656_aligned.fasta,1155,80,75.86619718309859,29.277871454076568,133,63,471,0.0555,90.41,100.0,96.17,10,451,92.1
GC_00002273_aligned.fasta,807,79,75.60406091370558,3.54373985415754,191,0,0,0.0,86.86,100.0,94.86,1,807,807.0
GC_00002323_aligned.fasta,624,80,75.9603305785124,4.864542039478177,107,24,426,0.0397,86.22,100.0,95.39,3,406,187.33333333333334
GC_00001784_aligned.fasta,507,79,75.67827868852459,4.324774086267132,83,0,0,0.0,81.66,100.0,96.68,1,507,507.0
GC_00001435_aligned.fasta,1503,80,77.8032345013477,3.7860811822058826,132,312,297,0.2102,93.41,100.0,97.74,21,277,36.80952380952381
GC_00001565_aligned.fasta,339,79,73.496875,14.537490234375,53,0,0,0.0,81.13,100.0,95.92,1,339,339.0
GC_00001140_aligned.fasta,765,80,76.16621983914209,4.6131216353168645,120,45,624,0.0603,86.8,100.0,96.98,4,604,156.25
GC_00001010_aligned.fasta,570,80,76.71506352087114,19.07852082173642,63,152,120,0.2759,92.05,100.0,98.54,7,100,40.714285714285715
GC_00001739_aligned.fasta,546,80,76.6641366223909,3.9042735904424806,91,14,117,0.0266,88.46,100.0,97.23,5,265,87.4
GC_00001669_aligned.fasta,363,80,75.84883720930233,6.773661438615469,67,6,195,0.0174,83.47,100.0,96.65,3,175,106.33333333333333
GC_00001488_aligned.fasta,1173,80,75.38128249566725,14.549597661963965,288,13,767,0.0113,85.7,100.0,96.33,4,747,275.75
GC_00001793_aligned.fasta,1086,80,73.74507966260543,9.082157139858182,136,7,1,0.0066,77.81,100.0,95.21,2,993,530.0
GC_00001422_aligned.fasta,297,79,75.49280575539568,5.134840329175507,48,0,0,0.0,84.01,100.0,96.43,1,297,297.0
GC_00001572_aligned.fasta,1341,80,77.39409984871406,2.633641436323729,197,135,228,0.1021,92.62,100.0,97.21,10,409,103.5
GC_00001157_aligned.fasta,1083,80,77.67387218045113,3.0336782393012602,106,180,243,0.1692,93.17,100.0,97.55,10,223,71.3
GC_00001007_aligned.fasta,915,80,75.86160714285714,3.969686702806122,177,23,213,0.0257,85.9,100.0,96.26,3,589,284.6666666666667
GC_00002085_aligned.fasta,1431,80,77.97450424929178,2.2118145559309523,121,216,373,0.153,94.06,100.0,98.0,19,353,43.94736842105263
GC_00000555_aligned.fasta,375,80,78.98876404494382,0.8313344274712788,0,119,45,0.3343,96.0,100.0,99.27,9,25,7.333333333333333
GC_00002711_aligned.fasta,879,80,75.94651162790697,6.036673877771769,155,53,510,0.0616,87.14,100.0,96.8,4,490,187.5
GC_00002641_aligned.fasta,945,80,76.94708423326134,4.75853901450303,148,129,123,0.1393,90.38,100.0,95.96,9,400,73.77777777777777
GC_00002264_aligned.fasta,1098,80,76.61631139944393,5.267055532316763,143,131,201,0.1214,89.07,100.0,95.38,9,439,88.44444444444444
GC_00002334_aligned.fasta,1965,80,73.2065775950668,58.80419106206739,248,50,394,0.0257,87.53,100.0,96.07,9,409,193.77777777777777
GC_00000659_aligned.fasta,534,80,78.85436893203884,1.5496653784522576,28,207,144,0.4019,96.07,100.0,99.17,6,124,35.5
GC_00000709_aligned.fasta,600,80,75.98450946643717,6.5281593549017805,72,30,99,0.0516,86.0,100.0,97.06,3,373,171.0
GC_00002168_aligned.fasta,2256,80,76.28475637013858,7.307827533402649,333,163,693,0.0729,88.79,100.0,96.79,17,673,105.23529411764706
GC_00002038_aligned.fasta,456,80,76.07780320366133,2.5568757232849317,73,4,1,0.0092,86.18,100.0,96.96,2,406,216.5
GC_00000987_aligned.fasta,630,80,74.51718494271685,75.01238880213006,1,345,36,0.5646,99.13,100.0,99.85,5,171,38.0
GC_00002389_aligned.fasta,606,79,69.94548551959114,80.85563123786527,60,0,0,0.0,83.43,100.0,93.11,1,606,606.0
GC_00000844_aligned.fasta,516,80,78.03420523138833,2.0732766822261537,83,101,120,0.2032,93.02,100.0,98.02,8,100,32.875
GC_00000914_aligned.fasta,444,80,76.98117647058824,3.4396456747404844,75,23,179,0.0541,90.99,100.0,97.27,4,159,86.25
GC_00002146_aligned.fasta,1425,80,76.07183499288763,3.6413546697854544,289,21,747,0.0149,84.49,100.0,96.21,6,727,218.16666666666666
GC_00002016_aligned.fasta,810,80,76.54235145385587,4.895488275974499,116,38,270,0.048,89.26,100.0,96.93,6,250,109.66666666666667
GC_00002433_aligned.fasta,855,80,75.74162679425838,5.383004052105035,151,15,664,0.0179,87.6,100.0,96.41,5,644,152.8
GC_00000677_aligned.fasta,189,80,78.95294117647059,0.4448442906574395,0,34,33,0.2,95.24,100.0,99.27,5,40,15.8
GC_00002563_aligned.fasta,429,80,73.45121951219512,60.80859607376561,52,50,123,0.122,93.46,100.0,97.52,5,106,60.6
GC_00000727_aligned.fasta,609,80,79.32203389830508,1.1098534903763284,4,360,60,0.6102,97.37,100.0,99.41,8,40,9.75
GC_00000496_aligned.fasta,258,80,79.24686192468619,0.5373855499728647,0,99,57,0.4142,97.29,100.0,99.14,4,37,16.0
GC_00001275_aligned.fasta,4203,80,79.02007648183556,2.618621791473665,71,2114,183,0.5053,96.57,100.0,99.23,62,163,14.387096774193548
GC_00001325_aligned.fasta,330,80,77.54340836012862,1.8172475470683715,61,19,1,0.0611,89.7,100.0,98.4,2,162,146.0
GC_00001700_aligned.fasta,390,80,76.25067385444744,5.363038629478136,52,14,42,0.0377,86.82,100.0,96.62,3,289,112.66666666666667
GC_00001650_aligned.fasta,1308,80,78.7843289371606,1.374742780861632,37,429,81,0.3328,96.71,100.0,98.63,23,61,19.217391304347824
GC_00001094_aligned.fasta,1653,80,77.68053855569156,3.467099832356787,172,260,270,0.1591,93.1,100.0,98.03,14,250,80.5
GC_00001933_aligned.fasta,396,79,75.91511936339522,4.194386789465908,81,0,0,0.0,87.37,100.0,94.47,1,396,396.0
GC_00001863_aligned.fasta,198,79,75.15642458100558,6.478324646546611,23,0,0,0.0,83.84,100.0,95.56,1,198,198.0
GC_00001398_aligned.fasta,1005,80,76.52839756592292,4.733980596505231,143,104,285,0.1055,89.05,100.0,97.17,8,265,93.625
GC_00001179_aligned.fasta,186,78,73.80838323353294,5.915378823191941,12,0,0,0.0,77.42,100.0,95.37,1,186,186.0
GC_00001029_aligned.fasta,360,80,77.75366568914956,3.317618527532443,42,83,66,0.2434,92.22,100.0,97.88,4,148,50.25
GC_00001924_aligned.fasta,792,80,77.01293661060802,3.1408416997334023,124,48,237,0.0621,91.29,100.0,96.91,5,217,129.8
GC_00001874_aligned.fasta,669,80,75.77076923076923,13.635145562130177,90,50,240,0.0769,88.12,100.0,96.42,8,220,58.375
GC_00001999_aligned.fasta,1224,80,76.57593360995851,4.29734612007369,231,111,267,0.0921,90.01,100.0,96.0,9,247,104.66666666666667
GC_00001262_aligned.fasta,324,80,77.22295081967214,3.4453748992206394,32,43,207,0.141,88.27,100.0,98.31,2,187,121.5
GC_00001332_aligned.fasta,1551,80,76.6710182767624,6.0184028795615205,216,200,321,0.1305,89.28,100.0,97.29,15,301,69.8
GC_00001717_aligned.fasta,1359,80,76.46044776119403,3.972316217420361,215,57,789,0.0425,89.04,100.0,96.92,9,769,127.77777777777777
GC_00001647_aligned.fasta,1068,80,77.29456625357483,3.5500276717305774,154,136,279,0.1296,91.95,100.0,97.38,10,259,74.2
GC_00001083_aligned.fasta,801,80,60.46035805626598,51.785512915273976,3,10,47,0.0128,92.2,100.0,98.12,3,717,251.0
GC_00002151_aligned.fasta,1053,80,73.7147001934236,18.223246186711762,139,5,843,0.0048,81.87,100.0,95.4,3,823,336.6666666666667
GC_00002001_aligned.fasta,1359,80,74.55223880597015,5.580106928046335,253,2,1224,0.0015,85.78,100.0,94.18,2,1204,659.5
GC_00000660_aligned.fasta,495,80,78.61344537815125,3.6951133394534286,54,239,108,0.5021,93.54,100.0,98.57,6,88,20.5
GC_00002424_aligned.fasta,1473,80,77.08321870701513,2.6856468613831974,315,67,425,0.0461,90.9,100.0,97.37,9,405,137.22222222222223
GC_00000730_aligned.fasta,1431,80,79.04886685552408,1.8240992825558349,39,702,126,0.4972,96.29,100.0,99.16,21,106,15.714285714285714
